codigo,denominacion,cuit,cond_fiscal,limite_cta_cte,telefono,email,direccion
C1201,Agropecuaria del Sur SA,30-83266739-7,RESPONSABLE_INSCRIPTO,1500000,0341-4731985,compras@agropecuaria.com.ar,
C1202,Gomería Rojas,27-11502941-5,MONOTRIBUTO,300000,0341-156890130,,"Rioja 2144, Casilda"
C1203,Gomería Medina,23-94581937-5,MONOTRIBUTO,800000,0341-156277142,,"Bv. Oroño 1965, San Nicolás"
C1204,Taller Mecánico Peralta,20-32415817-1,MONOTRIBUTO,400000,0341-153063120,,"Av. Francia 2319, Pérez"
C1205,Lubricentro Rosario,23-10847257-9,MONOTRIBUTO,400000,0341-153647553,lubricentroros@gmail.com,"Av. San Martín 483, Casilda"
C1206,Cabrera Raúl,,CONSUMIDOR_FINAL,0,0341-156712823,,"Av. Francia 1653, Rosario"
C1207,Taller Mecánico Villalba,27-72310557-4,MONOTRIBUTO,200000,,,"Mendoza 3255, Funes"
C1208,Distribuidora Martínez SRL,30-34096846-4,RESPONSABLE_INSCRIPTO,2000000,,,"San Juan 1538, Pérez"
C1209,Taller Rodríguez Hnos,27-28960161-4,MONOTRIBUTO,500000,0341-153425633,tallerrodrguez@gmail.com,
C1210,Moreno Claudio,20-68559013-2,MONOTRIBUTO,200000,0341-153993083,,"Rioja 2313, Cañada de Gómez"
C1211,Transportes Rosario SRL,30-74297546-7,RESPONSABLE_INSCRIPTO,1500000,0341-154466633,compras@transportesr.com.ar,"Salta 4559, Cañada de Gómez"
C1212,Peralta Marcelo,,CONSUMIDOR_FINAL,0,,,"Av. San Martín 1390, Pergamino"
C1213,Transportes del Sur SRL,30-93174548-0,RESPONSABLE_INSCRIPTO,3000000,0341-154902856,,
C1214,Sosa Cristian,,CONSUMIDOR_FINAL,0,0341-4821337,,
C1215,Correa Natalia,,CONSUMIDOR_FINAL,0,0341-4652708,,
C1216,Benítez Claudio,,CONSUMIDOR_FINAL,0,0341-4352619,,"Av. San Martín 3173, Pérez"
C1217,Distribuidora López SRL,30-24274992-4,RESPONSABLE_INSCRIPTO,1500000,,compras@distribuidor.com.ar,"Av. Provincias Unidas 4648, Funes"
C1218,Logística Molina SA,33-86590827-5,RESPONSABLE_INSCRIPTO,2000000,0341-154229846,compras@logsticamoli.com.ar,"Ovidio Lagos 4705, Roldán"
C1219,Taller Flores Hnos,20-73017389-0,MONOTRIBUTO,500000,0341-4311655,tallerfloreshn@gmail.com,"Av. Pellegrini 3981, Villa Gobernador Gálvez"
C1220,Herrera Ana,27-40799846-9,MONOTRIBUTO,200000,0341-4649791,herreraana@gmail.com,"Av. Pellegrini 4315, Roldán"
C1221,Distribuidora Domínguez SRL,30-62515756-7,RESPONSABLE_INSCRIPTO,3000000,0341-4273427,compras@distribuidor.com.ar,"Salta 1492, Cañada de Gómez"
C1222,Lubricentro San Lorenzo,23-37363652-5,MONOTRIBUTO,300000,,lubricentrosan@gmail.com,"Bv. Oroño 2046, Pérez"
C1223,Aguirre Andrés,,CONSUMIDOR_FINAL,0,0341-4703264,,"Av. Provincias Unidas 4545, Rosario"
C1224,Benítez Franco,,CONSUMIDOR_FINAL,0,0341-155330731,,"Av. Alberdi 3354, Pérez"
C1225,Casa Martínez Automotores SRL,30-64693446-6,RESPONSABLE_INSCRIPTO,1500000,0341-154984330,compras@casamartneza.com.ar,"San Juan 2032, Pergamino"
C1226,Álvarez Lucas,23-56728554-5,MONOTRIBUTO,500000,0341-4709049,lvarezlucas@gmail.com,
C1227,Lubricentro Villa Constitución,23-58873845-0,MONOTRIBUTO,800000,0341-4072166,,"San Juan 3387, Cañada de Gómez"
C1228,Taller Molina Hnos,20-29413667-4,MONOTRIBUTO,200000,0341-4878507,,"Av. Francia 1827, Pergamino"
C1229,Lubricentro del Litoral,27-71865995-2,MONOTRIBUTO,300000,0341-4270252,lubricentrodel@gmail.com,"Salta 1737, Rosario"
C1230,Gomería Castro,23-73357603-0,MONOTRIBUTO,200000,0341-4678661,gomeracastro@gmail.com,
C1231,Sosa Claudio,,CONSUMIDOR_FINAL,0,0341-155916211,,"Tucumán 4172, Funes"
C1232,Cabrera Sergio,,CONSUMIDOR_FINAL,0,0341-4449082,,"Av. Francia 1186, Rosario"
C1233,Lubricentro del Litoral,20-53101011-7,MONOTRIBUTO,300000,0341-153517687,,"Av. Pellegrini 4272, Funes"
C1234,Transporte López SA,33-14958170-2,RESPONSABLE_INSCRIPTO,3000000,0341-155766181,,"Av. Pellegrini 2759, San Lorenzo"
C1235,Núñez Alejandra,,CONSUMIDOR_FINAL,0,,,"Av. Francia 796, Funes"
C1236,Flores María,,CONSUMIDOR_FINAL,0,0341-4307875,,"Av. Francia 704, Casilda"
C1237,Logística Correa SA,30-20781933-2,RESPONSABLE_INSCRIPTO,1500000,0341-156739561,,
C1238,Taller Mecánico Silva,23-18137187-0,MONOTRIBUTO,400000,,,
C1239,Gomería Rojas,23-62350939-7,MONOTRIBUTO,500000,0341-4037913,,"Av. Francia 2985, Casilda"
C1240,Luna Diego,,CONSUMIDOR_FINAL,0,0341-156713078,,"Bv. Oroño 2623, Pérez"
C1241,Lubricentro San Nicolás,20-61646401-9,MONOTRIBUTO,500000,0341-4615242,lubricentrosan@gmail.com,
C1242,Ríos Cristian,,CONSUMIDOR_FINAL,0,0341-4302983,,"27 de Febrero 895, Casilda"
C1243,Rectificadora San Nicolás,33-13466982-4,RESPONSABLE_INSCRIPTO,1000000,0341-4203266,compras@rectificador.com.ar,"27 de Febrero 391, Roldán"
C1244,Taller Godoy Hnos,20-62871511-5,MONOTRIBUTO,200000,0341-4816158,tallergodoyhno@gmail.com,"Tucumán 1637, Casilda"
C1245,Ruiz Gabriel,,CONSUMIDOR_FINAL,0,0341-4118547,,"Tucumán 2538, San Lorenzo"
C1246,Lubricentro Norte,20-99341384-5,MONOTRIBUTO,300000,0341-155967130,,"Salta 2827, Villa Gobernador Gálvez"
C1247,Casa Ríos Automotores SRL,30-27825047-0,RESPONSABLE_INSCRIPTO,1500000,0341-4753174,,
C1248,Gomería Castro,23-34078381-6,MONOTRIBUTO,300000,,,"Av. Provincias Unidas 4849, Cañada de Gómez"
C1249,Cabrera Miguel,,CONSUMIDOR_FINAL,0,0341-4777390,,"Salta 900, Cañada de Gómez"
C1250,Aguirre Cristian,,CONSUMIDOR_FINAL,0,0341-154166307,,"27 de Febrero 3770, Roldán"
C1251,Rectificadora Casilda,33-70641997-2,RESPONSABLE_INSCRIPTO,5000000,0341-153451306,compras@rectificador.com.ar,"Santa Fe 3844, Casilda"
C1252,Taller Mecánico Luna,27-38144669-2,MONOTRIBUTO,400000,0341-4618596,tallermecnicol@gmail.com,"Av. San Martín 525, San Lorenzo"
C1253,Transporte Fernández SA,33-66222021-9,RESPONSABLE_INSCRIPTO,1500000,0341-4756943,,"San Juan 361, Pérez"
C1254,Lubricentro Funes,23-49621248-7,MONOTRIBUTO,500000,0341-156629607,lubricentrofun@gmail.com,
C1255,Casa Rojas Automotores SRL,30-64203865-2,RESPONSABLE_INSCRIPTO,5000000,0341-154296889,compras@casarojasaut.com.ar,"Tucumán 1320, Pergamino"
C1256,Silva Jorge,,CONSUMIDOR_FINAL,0,0341-156521866,,"Ovidio Lagos 3575, Roldán"
C1257,Taller García Hnos,20-78640969-2,MONOTRIBUTO,300000,0341-155565641,,"Santa Fe 1942, San Lorenzo"
C1258,Herrera Luis,,CONSUMIDOR_FINAL,0,0341-4742797,,
C1259,Giménez Cristian,,CONSUMIDOR_FINAL,0,0341-155134398,,"27 de Febrero 1968, Funes"
C1260,Gomería Acosta,27-91216863-3,MONOTRIBUTO,500000,,gomeraacosta@gmail.com,
C1261,Taller Mecánico Molina,20-33886481-8,MONOTRIBUTO,800000,0341-4710360,tallermecnicom@gmail.com,"Av. Alberdi 139, Funes"
C1262,Ramírez Lucas,,CONSUMIDOR_FINAL,0,0341-153710714,,"Av. Pellegrini 3470, Pergamino"
C1263,Casa Aguirre Automotores SRL,30-18618583-4,RESPONSABLE_INSCRIPTO,1500000,0341-153844503,,"San Juan 4087, Cañada de Gómez"
C1264,Transporte Torres SA,30-35603762-2,RESPONSABLE_INSCRIPTO,3000000,0341-4696945,compras@transporteto.com.ar,"Av. Alberdi 2127, Villa Gobernador Gálvez"
C1265,Taller Mecánico Molina,27-74821834-9,MONOTRIBUTO,400000,0341-4631354,,"Córdoba 1241, Pérez"
C1266,Distribuidora Ríos SRL,33-61900196-1,RESPONSABLE_INSCRIPTO,3000000,0341-4693571,compras@distribuidor.com.ar,"Mendoza 3978, Rosario"
C1267,Agropecuaria Funes SA,33-80699537-7,RESPONSABLE_INSCRIPTO,1000000,0341-154892198,compras@agropecuaria.com.ar,"Córdoba 4183, Funes"
C1268,Taller Mecánico Herrera,20-48125766-3,MONOTRIBUTO,500000,0341-4474974,tallermecnicoh@gmail.com,
C1269,Ruiz Verónica,,CONSUMIDOR_FINAL,0,0341-154299756,,"Av. Alberdi 235, San Nicolás"
C1270,Moreno Gustavo,,CONSUMIDOR_FINAL,0,0341-153700717,,"27 de Febrero 2989, Cañada de Gómez"
C1271,Transporte Ferreyra SA,30-99182090-2,RESPONSABLE_INSCRIPTO,2000000,0341-4433839,,"Tucumán 1732, San Nicolás"
C1272,Distribuidora Rojas SRL,30-85733855-9,RESPONSABLE_INSCRIPTO,1000000,,compras@distribuidor.com.ar,"Av. Provincias Unidas 4454, Roldán"
C1273,Distribuidora Fernández SRL,33-56936205-4,RESPONSABLE_INSCRIPTO,2000000,,compras@distribuidor.com.ar,"Bv. Oroño 4597, Casilda"
C1274,Gomería Luna,27-11671481-2,MONOTRIBUTO,200000,0341-4545803,,"Ovidio Lagos 2694, Pérez"
C1275,Distribuidora Ponce SRL,33-15652721-7,RESPONSABLE_INSCRIPTO,1000000,0341-156660932,,"Av. Provincias Unidas 930, Rosario"
C1276,Lubricentro Roldán,27-36040565-1,MONOTRIBUTO,400000,,,"Av. San Martín 1092, Pérez"
C1277,Ramírez Verónica,,CONSUMIDOR_FINAL,0,0341-155657732,,"Av. Francia 3308, Villa Gobernador Gálvez"
C1278,Lubricentro San Lorenzo,27-84088063-5,MONOTRIBUTO,500000,0341-156400694,,"Santa Fe 140, Pérez"
C1279,Agropecuaria del Sur SA,30-64005298-4,RESPONSABLE_INSCRIPTO,3000000,0341-4618232,compras@agropecuaria.com.ar,"Av. Pellegrini 381, San Lorenzo"
C1280,Núñez Andrés,,CONSUMIDOR_FINAL,0,0341-4480262,,
C1281,Distribuidora Moreno SRL,33-23234584-0,RESPONSABLE_INSCRIPTO,1000000,0341-4272079,compras@distribuidor.com.ar,
C1282,Distribuidora García SRL,33-86114611-7,RESPONSABLE_INSCRIPTO,2000000,,,"Santa Fe 4833, Pérez"
C1283,Taller Mecánico Pérez,20-22683071-6,MONOTRIBUTO,200000,0341-154065200,tallermecnicop@gmail.com,"Ovidio Lagos 3751, Cañada de Gómez"
C1284,Casa Medina Automotores SRL,33-11521310-0,RESPONSABLE_INSCRIPTO,1000000,0341-155488054,,"Ovidio Lagos 688, Cañada de Gómez"
C1285,Aguirre Gabriel,,CONSUMIDOR_FINAL,0,0341-153262289,,"Santa Fe 3823, San Lorenzo"
C1286,Ríos Beatriz,,CONSUMIDOR_FINAL,0,0341-4539215,,"Av. San Martín 4337, Cañada de Gómez"
C1287,Benítez Andrés,,CONSUMIDOR_FINAL,0,0341-4082707,,"Tucumán 3955, Villa Gobernador Gálvez"
C1288,Moreno Gustavo,,CONSUMIDOR_FINAL,0,0341-4143467,,"Salta 3152, Cañada de Gómez"
C1289,Taller García Hnos,23-16361721-8,MONOTRIBUTO,800000,0341-154718890,tallergarcahno@gmail.com,"Córdoba 4329, Funes"
C1290,Lubricentro San Nicolás,27-26346004-4,MONOTRIBUTO,400000,,,"Salta 1943, Rosario"
C1291,Taller Ortiz Hnos,23-24189389-8,MONOTRIBUTO,200000,0341-155904797,,
C1292,Distribuidora Moreno SRL,33-76026208-6,RESPONSABLE_INSCRIPTO,1500000,0341-4774384,,
C1293,Flores Lucas,,CONSUMIDOR_FINAL,0,0341-4898505,,"Santa Fe 2867, Rosario"
C1294,Transportes Villa Constitución SRL,33-85310761-7,RESPONSABLE_INSCRIPTO,3000000,0341-4258489,compras@transportesv.com.ar,"Mendoza 309, Villa Gobernador Gálvez"
C1295,Acosta Oscar,,CONSUMIDOR_FINAL,0,0341-4111719,,"Mendoza 2483, Pergamino"
C1296,Ponce Raúl,,CONSUMIDOR_FINAL,0,0341-4258726,,
C1297,Taller Gómez Hnos,20-61528603-7,MONOTRIBUTO,200000,0341-4729725,tallergmezhnos@gmail.com,"Córdoba 693, Funes"
C1298,Taller Giménez Hnos,27-24118571-6,MONOTRIBUTO,200000,0341-4361055,tallergimnezhn@gmail.com,"Av. Provincias Unidas 1349, Rosario"
C1299,Gomería Torres,23-32131083-4,MONOTRIBUTO,800000,0341-4427147,,"Mendoza 1817, Pérez"
C1300,Lubricentro Rosario,27-31938096-0,MONOTRIBUTO,300000,0341-155925120,lubricentroros@gmail.com,
C1301,Ruiz Federico,,CONSUMIDOR_FINAL,0,0341-4246294,,"Salta 939, Cañada de Gómez"
C1302,Vega Susana,,CONSUMIDOR_FINAL,0,0341-4029808,,"Mendoza 562, San Lorenzo"
C1303,Taller Flores Hnos,23-14782790-3,MONOTRIBUTO,200000,0341-4337424,tallerfloreshn@gmail.com,"Av. Pellegrini 182, Pérez"
C1304,Gomería Aguirre,27-34433425-6,MONOTRIBUTO,800000,0341-4692795,gomeraaguirre@gmail.com,"Av. Alberdi 235, Villa Gobernador Gálvez"
C1305,Transportes Funes SRL,33-28696027-3,RESPONSABLE_INSCRIPTO,2000000,0341-4544635,compras@transportesf.com.ar,"San Juan 1516, Cañada de Gómez"
C1306,Transporte Castro SA,30-64967041-9,RESPONSABLE_INSCRIPTO,1000000,0341-4463111,,"Av. Pellegrini 3322, Rosario"
C1307,Gomería Herrera,27-12476339-3,MONOTRIBUTO,500000,0341-154044903,,"Av. Provincias Unidas 4154, Roldán"
C1308,Pérez Néstor,,CONSUMIDOR_FINAL,0,0341-4091900,,"Av. Francia 589, Cañada de Gómez"
C1309,Taller Mecánico Castro,20-76091166-7,MONOTRIBUTO,500000,0341-153576633,tallermecnicoc@gmail.com,"Salta 2853, Casilda"
C1310,Gomería Medina,23-39966787-9,MONOTRIBUTO,300000,0341-4725514,gomeramedina@gmail.com,"Tucumán 948, Roldán"
C1311,Casa Acosta Automotores SRL,33-86989542-9,RESPONSABLE_INSCRIPTO,1500000,0341-154040030,compras@casaacostaau.com.ar,
C1312,Álvarez Nicolás,27-30580448-2,MONOTRIBUTO,300000,0341-4228996,,"Santa Fe 4011, Casilda"
C1313,Agropecuaria Oeste SA,33-42973032-0,RESPONSABLE_INSCRIPTO,1500000,0341-4106763,compras@agropecuaria.com.ar,"Av. Alberdi 2718, Funes"
C1314,Taller Mecánico Martínez,27-49044742-9,MONOTRIBUTO,400000,0341-155533124,tallermecnicom@gmail.com,
C1315,Agropecuaria Norte SA,33-67762358-1,RESPONSABLE_INSCRIPTO,5000000,0341-153067412,,"Rioja 678, Rosario"
C1316,Taller Mecánico Fernández,20-59397037-0,MONOTRIBUTO,200000,0341-4877396,tallermecnicof@gmail.com,"Salta 372, Villa Gobernador Gálvez"
C1317,Rectificadora del Sur,33-22712484-4,RESPONSABLE_INSCRIPTO,1500000,0341-4481186,compras@rectificador.com.ar,
C1318,Rectificadora Casilda,33-70927552-1,RESPONSABLE_INSCRIPTO,1000000,0341-153473430,compras@rectificador.com.ar,"Av. Provincias Unidas 1906, Villa Gobernador Gálvez"
C1319,Gómez Fernando,,CONSUMIDOR_FINAL,0,,,"Av. San Martín 1703, Rosario"
C1320,Lubricentro Rosario,20-20372992-9,MONOTRIBUTO,200000,0341-155744819,,"Av. Pellegrini 2570, Villa Gobernador Gálvez"
C1321,Álvarez Sandra,,CONSUMIDOR_FINAL,0,0341-4040966,,"Bv. Oroño 3847, Rosario"
C1322,Gomería Castro,20-50732104-7,MONOTRIBUTO,800000,0341-155851605,gomeracastro@gmail.com,"27 de Febrero 4837, Cañada de Gómez"
C1323,Lubricentro Norte,20-87329168-1,MONOTRIBUTO,300000,0341-154768227,,
C1324,Lubricentro del Litoral,27-61675625-2,MONOTRIBUTO,200000,0341-4128573,,"Santa Fe 243, Cañada de Gómez"
C1325,Taller Mecánico Ponce,20-59917586-6,MONOTRIBUTO,800000,0341-154109446,,
C1326,Moreno Diego,,CONSUMIDOR_FINAL,0,0341-153097562,,"Av. San Martín 3850, Pérez"
C1327,Distribuidora Maidana SRL,30-59644829-8,RESPONSABLE_INSCRIPTO,2000000,0341-155222247,compras@distribuidor.com.ar,"Av. San Martín 2551, Cañada de Gómez"
C1328,Silva Mario,,CONSUMIDOR_FINAL,0,0341-155363967,,"Rioja 1196, Villa Gobernador Gálvez"
C1329,Silva Gabriela,,CONSUMIDOR_FINAL,0,0341-154907325,,"Bv. Oroño 2378, San Nicolás"
C1330,Distribuidora Álvarez SRL,30-65805213-2,RESPONSABLE_INSCRIPTO,1000000,,compras@distribuidor.com.ar,"San Juan 2891, San Lorenzo"
C1331,Taller Mecánico Ruiz,27-15329519-6,MONOTRIBUTO,800000,0341-4371959,tallermecnicor@gmail.com,"Salta 797, Funes"
C1332,Romero Silvia,20-16708648-9,MONOTRIBUTO,500000,0341-156667761,romerosilvia@gmail.com,"Salta 647, Roldán"
C1333,García Gustavo,23-90511250-3,MONOTRIBUTO,300000,0341-4019851,garcagustavo@gmail.com,
C1334,Logística Medina SA,33-34790494-0,RESPONSABLE_INSCRIPTO,2000000,0341-154465517,,"Av. Pellegrini 3239, Pergamino"
C1335,Lubricentro del Centro,27-25072683-5,MONOTRIBUTO,400000,0341-4116504,,"Tucumán 1193, Roldán"
C1336,Logística Rojas SA,30-26929743-9,RESPONSABLE_INSCRIPTO,5000000,,compras@logsticaroja.com.ar,"Rioja 2879, Funes"
C1337,Gomería Moreno,27-35679068-0,MONOTRIBUTO,800000,0341-155666974,,"Av. Pellegrini 4618, Casilda"
C1338,Taller Sosa Hnos,27-92961559-5,MONOTRIBUTO,300000,0341-4751137,tallersosahnos@gmail.com,"Av. Alberdi 3196, Cañada de Gómez"
C1339,Álvarez Claudio,,CONSUMIDOR_FINAL,0,,,"Salta 1005, Pergamino"
C1340,Taller Mecánico García,27-51402206-8,MONOTRIBUTO,200000,0341-4500667,,
C1341,Casa Ríos Automotores SRL,30-81418338-2,RESPONSABLE_INSCRIPTO,5000000,0341-156284560,,"Santa Fe 4044, Casilda"
C1342,Rectificadora Funes,30-25204365-5,RESPONSABLE_INSCRIPTO,1000000,0341-4785103,compras@rectificador.com.ar,"Salta 387, Pergamino"
C1343,Aguirre Verónica,20-40363753-0,MONOTRIBUTO,200000,0341-156480001,aguirrevernica@gmail.com,"Ovidio Lagos 2095, San Nicolás"
C1344,Luna Nicolás,27-45038040-2,MONOTRIBUTO,400000,0341-153146768,lunanicols@gmail.com,"Av. Francia 556, Rosario"
C1345,Rectificadora Norte,30-30056116-7,RESPONSABLE_INSCRIPTO,2000000,0341-4105874,compras@rectificador.com.ar,"Córdoba 3280, San Lorenzo"
C1346,Distribuidora Moreno SRL,30-96920508-0,RESPONSABLE_INSCRIPTO,1000000,0341-154693068,,"27 de Febrero 1408, Villa Gobernador Gálvez"
C1347,Taller Mecánico Martínez,20-73157980-7,MONOTRIBUTO,300000,,tallermecnicom@gmail.com,"Av. Pellegrini 968, Funes"
C1348,Rectificadora Roldán,30-50133247-6,RESPONSABLE_INSCRIPTO,1000000,0341-4157138,,"Santa Fe 4035, Pergamino"
C1349,Distribuidora Núñez SRL,30-73619177-2,RESPONSABLE_INSCRIPTO,3000000,,compras@distribuidor.com.ar,"Córdoba 2386, San Nicolás"
C1350,Correa Leandro,,CONSUMIDOR_FINAL,0,0341-4671410,,"Tucumán 4485, San Nicolás"
C1351,Gomería Álvarez,23-69500127-4,MONOTRIBUTO,300000,0341-156520071,,"Av. Provincias Unidas 3597, Pérez"
C1352,Logística Flores SA,30-83151202-0,RESPONSABLE_INSCRIPTO,1000000,0341-156297277,compras@logsticaflor.com.ar,
C1353,Vega Facundo,,CONSUMIDOR_FINAL,0,0341-153443671,,"Salta 421, Casilda"
C1354,Taller Mecánico Vega,23-78732302-2,MONOTRIBUTO,200000,0341-4712907,,"Santa Fe 2792, Roldán"
C1355,Herrera Silvia,27-96435881-3,MONOTRIBUTO,800000,0341-4468155,herrerasilvia@gmail.com,"Rioja 1504, Pérez"
C1356,Taller Herrera Hnos,27-50823541-6,MONOTRIBUTO,500000,0341-4167655,,"Av. Pellegrini 3299, Casilda"
C1357,Gomería Ramírez,27-40910965-4,MONOTRIBUTO,800000,0341-156181768,gomeraramrez@gmail.com,"Rioja 2353, San Nicolás"
C1358,Taller Mecánico Pérez,27-23766604-1,MONOTRIBUTO,300000,0341-154871776,,"Tucumán 1965, Cañada de Gómez"
C1359,Godoy Pablo,,CONSUMIDOR_FINAL,0,0341-155493995,,"Ovidio Lagos 3666, Pérez"
C1360,Gomería Rojas,20-99433265-2,MONOTRIBUTO,300000,0341-156240079,,
C1361,Transporte Medina SA,33-82751125-6,RESPONSABLE_INSCRIPTO,2000000,0341-4116562,compras@transporteme.com.ar,"Mendoza 1141, Casilda"
C1362,Ortiz Susana,,CONSUMIDOR_FINAL,0,0341-153618875,,"Tucumán 3711, San Nicolás"
C1363,Rectificadora Norte,30-73055079-7,RESPONSABLE_INSCRIPTO,3000000,0341-155919767,,"27 de Febrero 4141, San Nicolás"
C1364,Gomería Romero,23-31838944-6,MONOTRIBUTO,800000,0341-4882520,,"Av. Alberdi 2641, Villa Gobernador Gálvez"
C1365,Rodríguez Sergio,,CONSUMIDOR_FINAL,0,0341-4877472,,"Bv. Oroño 4085, Pergamino"
C1366,Rodríguez Cristian,,CONSUMIDOR_FINAL,0,0341-154364483,,"Bv. Oroño 4078, Casilda"
C1367,Taller Peralta Hnos,20-31651163-6,MONOTRIBUTO,300000,0341-153766424,,"Av. Alberdi 3986, Funes"
C1368,Lubricentro Pergamino,27-30270351-0,MONOTRIBUTO,400000,0341-4657882,lubricentroper@gmail.com,"Santa Fe 4466, Rosario"
C1369,Transportes Rosario SRL,33-64512221-1,RESPONSABLE_INSCRIPTO,5000000,0341-155861114,,"Tucumán 393, Pergamino"
C1370,Medina Mónica,,CONSUMIDOR_FINAL,0,0341-4566651,,"Tucumán 2765, Cañada de Gómez"
C1371,Distribuidora Cabrera SRL,30-20837220-9,RESPONSABLE_INSCRIPTO,1500000,0341-4429009,,"Ovidio Lagos 4317, Cañada de Gómez"
C1372,Gomería Ponce,20-75688257-1,MONOTRIBUTO,300000,0341-156743132,gomeraponce@gmail.com,"San Juan 1201, San Lorenzo"
C1373,Aguirre Pablo,,CONSUMIDOR_FINAL,0,0341-4341990,,
C1374,Transporte Acosta SA,30-42343450-9,RESPONSABLE_INSCRIPTO,1500000,0341-156048531,compras@transporteac.com.ar,"Bv. Oroño 3646, Funes"
C1375,Rodríguez Andrés,,CONSUMIDOR_FINAL,0,0341-4522431,,"Av. Pellegrini 4542, Pérez"
C1376,Godoy Cecilia,20-73251968-9,MONOTRIBUTO,300000,0341-4695766,,"27 de Febrero 4749, Rosario"
C1377,Taller Mecánico Aguirre,27-34071556-5,MONOTRIBUTO,400000,0341-156479793,,"Ovidio Lagos 209, Cañada de Gómez"
C1378,Lubricentro Villa Constitución,23-60499429-2,MONOTRIBUTO,500000,0341-4617654,lubricentrovil@gmail.com,"27 de Febrero 4454, Villa Gobernador Gálvez"
C1379,Benítez Jorge,,CONSUMIDOR_FINAL,0,0341-4220580,,"Santa Fe 1406, San Lorenzo"
C1380,Logística Ortiz SA,30-82052771-9,RESPONSABLE_INSCRIPTO,2000000,0341-4388428,,
C1381,Taller Mecánico López,23-84477561-9,MONOTRIBUTO,400000,0341-154424635,tallermecnicol@gmail.com,"Av. Alberdi 4633, Casilda"
C1382,Distribuidora Aguirre SRL,33-57424791-3,RESPONSABLE_INSCRIPTO,1000000,0341-155488008,,
C1383,Logística Ruiz SA,33-86795887-3,RESPONSABLE_INSCRIPTO,3000000,0341-153756888,compras@logsticaruiz.com.ar,"Mendoza 3842, Casilda"
C1384,Martínez Rubén,,CONSUMIDOR_FINAL,0,0341-4679287,,"Av. San Martín 3279, San Lorenzo"
C1385,Ponce Rubén,,CONSUMIDOR_FINAL,0,0341-156965096,,"Mendoza 4012, Casilda"
C1386,Torres Pablo,,CONSUMIDOR_FINAL,0,0341-156990474,,"Av. Pellegrini 3641, San Lorenzo"
C1387,Romero Daniel,27-28168446-4,MONOTRIBUTO,800000,0341-4141976,romerodaniel@gmail.com,"Av. Francia 1815, Rosario"
C1388,Taller Mecánico Romero,27-71875844-6,MONOTRIBUTO,800000,0341-4451762,,
C1389,Ortiz Laura,,CONSUMIDOR_FINAL,0,0341-4076026,,"Av. San Martín 758, Roldán"
C1390,Transporte Cabrera SA,33-64577469-3,RESPONSABLE_INSCRIPTO,5000000,0341-155695703,,"Av. Alberdi 2719, Rosario"
C1391,Rectificadora Pergamino,33-65139243-3,RESPONSABLE_INSCRIPTO,2000000,0341-156918230,compras@rectificador.com.ar,"27 de Febrero 2105, San Lorenzo"
C1392,Lubricentro Villa Constitución,23-89859046-1,MONOTRIBUTO,300000,0341-155934385,lubricentrovil@gmail.com,"Córdoba 3748, San Nicolás"
C1393,García Facundo,23-48476237-6,MONOTRIBUTO,800000,0341-153411631,,"Mendoza 232, Funes"
C1394,Rectificadora del Sur,33-21109848-7,RESPONSABLE_INSCRIPTO,2000000,0341-154760394,compras@rectificador.com.ar,"Av. Francia 4816, Funes"
C1395,García Héctor,,CONSUMIDOR_FINAL,0,0341-4264828,,
C1396,Benítez Daniel,,CONSUMIDOR_FINAL,0,0341-155597869,,"Ovidio Lagos 906, Villa Gobernador Gálvez"
C1397,Distribuidora Castro SRL,30-69158237-6,RESPONSABLE_INSCRIPTO,2000000,0341-155822722,compras@distribuidor.com.ar,"Av. Provincias Unidas 3818, Roldán"
C1398,Vega Cristian,,CONSUMIDOR_FINAL,0,0341-4234395,,"Tucumán 2704, Casilda"
C1399,Casa Giménez Automotores SRL,30-33788051-3,RESPONSABLE_INSCRIPTO,1500000,0341-154710542,compras@casagimnezau.com.ar,"Ovidio Lagos 1724, Pérez"
C1400,Taller Cabrera Hnos,23-44905702-3,MONOTRIBUTO,800000,0341-155811265,,"Av. Alberdi 2852, Pérez"
C1401,Lubricentro Roldán,27-27225693-9,MONOTRIBUTO,500000,0341-4472976,lubricentrorol@gmail.com,"Av. Pellegrini 2582, Villa Gobernador Gálvez"
C1402,Transporte López SA,30-42991297-7,RESPONSABLE_INSCRIPTO,3000000,0341-156948983,compras@transportelp.com.ar,
C1403,Transporte Moreno SA,33-70774733-7,RESPONSABLE_INSCRIPTO,5000000,0341-4195345,compras@transportemo.com.ar,"Av. Alberdi 2471, Casilda"
C1404,Ponce Carla,23-63513911-0,MONOTRIBUTO,200000,0341-4101068,poncecarla@gmail.com,"Salta 4577, Casilda"
C1405,Ramírez Federico,,CONSUMIDOR_FINAL,0,0341-4522163,,"Córdoba 4540, Pergamino"
C1406,Ferreyra Raúl,,CONSUMIDOR_FINAL,0,0341-4005053,,"Av. Provincias Unidas 3808, Casilda"
C1407,Taller Herrera Hnos,20-58060544-4,MONOTRIBUTO,400000,0341-4692597,,"Tucumán 484, Rosario"
C1408,Taller Álvarez Hnos,23-36104886-5,MONOTRIBUTO,400000,0341-153295273,,"Tucumán 1656, San Nicolás"
C1409,Gomería Ferreyra,27-70274131-4,MONOTRIBUTO,800000,0341-156612862,,"Salta 4627, Casilda"
